company_linkedin_tag,linkedin_url,name,domain,website,segment,icp_confidence,tier,size_band,employees_on_linkedin,industry,company_type,founded_year,hq_city,hq_state,hq_country,payroll_evidence,hiring_payroll_roles,sources
fitwise-management-ltd,https://www.linkedin.com/company/fitwise-management-ltd,Fitwise Management,fitwise.co.uk,https://fitwise.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Events Services,Private,-,Bathgate,Scotland,GB,bookkeeping,-,pros-kw::bookkeeping::United Kingdom
hmatax,https://www.linkedin.com/company/hmatax,HMA Tax,hmatax.co.uk,https://hmatax.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Accounting,Private,-,Birmingham,England,GB,chartered accountants; accountants,-,pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom
harts-limited,https://www.linkedin.com/company/harts-limited,Harts Limited,harts-ltd.com,http://www.harts-ltd.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Accounting,PRIVATELY_HELD,2008,Macclesfield,Cheshire,GB,chartered accountants; accountants,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
kda-doyle-kelly-accountants,https://www.linkedin.com/company/kda-doyle-kelly-accountants,KDA,kdacc.ie,https://kdacc.ie,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Accounting,Privately Held,2020,Gorey,Wexford,IE,accountancy practice; accountants; accountancy; bookkeeping,-,discolike::ireland; pros-ind::Accounting::Ireland; pros-kw::bookkeeping::Ireland; pros-kw::outsourced payroll::Ireland; pros-kw::payroll services::Ireland; pros-kw::payroll::Ireland; unknown
malone-co-accountants,https://www.linkedin.com/company/malone-co-accountants,Malone & Co. Accountants,maloneaccountants.ie,https://share-eu1.hsforms.com/1ruxvgppcrzk2d93y-dzxzw2ek6zf,accountancy-practice-payroll,high,boutique-mid-11-200,51-200,39,Accounting,Privately Held,2014,Dublin,"Co. Dublin,",IE,payroll services,-,aiark-lookalike; unknown
robb-ferguson-chartered-accountants,https://www.linkedin.com/company/robb-ferguson-chartered-accountants,Robb Ferguson Chartered Accountants,robbferguson.co.uk,http://www.robbferguson.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Accounting,PARTNERSHIP,-,Glasgow,Scotland,GB,chartered accountants; accountants,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
m.i.c.-accounts,https://www.linkedin.com/company/m.i.c.-accounts,South Shore Accountants,-,https://southshoreaccountants.com,accountancy-practice-payroll,high,boutique-mid-11-200,11-50,39,Accounting,Private,-,Blackpool,England,GB,payroll services,-,pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::payroll::United Kingdom
tax-&-advise,https://www.linkedin.com/company/tax-&-advise,Tax&Advise,taxandadvise.com,http://www.taxandadvise.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Business Consulting And Services,PRIVATELY_HELD,2010,London,-,GB,accountants,-,aiark-lookalike; discolike::bureau-practice; pros-ind::Business Consulting and Services::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
thickbroom-group,https://www.linkedin.com/company/thickbroom-group,Thickbroom Chartered Accountants,thickbroom.co.uk,https://www.thickbroom.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Accounting,Privately Held,1965,Waltham Cross,Hertfordshire,GB,chartered accountants; accountants; accountancy; bookkeeping,-,aiark-lookalike; ind::Accounting::GB; pros-ind::Financial Services::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom
treasure,https://www.linkedin.com/company/treasure,Treasure,treasureaccounting.co.uk,https://treasureaccounting.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Accounting,Private,-,-,-,GB,bookkeeping,-,pros-ind::Accounting::United Kingdom
wdm,https://www.linkedin.com/company/wdm,WDM,wdmca.co.uk,https://wdmca.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,39,Accounting,Private,-,Motherwell,Scotland,GB,chartered accountants; accountants; accountancy,-,pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::outsourced payroll::United Kingdom; pros-kw::payroll bureau::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
advantage-business-systems-limited,https://www.linkedin.com/company/advantage-business-systems-limited,Advantage Business Systems Limited,advantage.co.uk,https://advantage.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,38,IT Services and IT Consulting,Public,-,London,England,GB,accountancy,-,pros-kw::accountancy practice::United Kingdom
bmhowarth,https://www.linkedin.com/company/bmhowarth,B M Howarth Chartered Accountants,bm-howarth.co.uk,http://www.bm-howarth.co.uk,accountancy-practice-payroll,high,boutique-mid-11-200,11-50,38,Accounting,PUBLIC_COMPANY,1989,Halifax,-,GB,payroll services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
bennett-verby-limited,https://www.linkedin.com/company/bennett-verby-limited,Bennett Verby Accountants and Business Advisors,bvllp.com,http://www.bvllp.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,38,Accounting,PRIVATELY_HELD,1991,Stockport,Cheshire,GB,accountants; accountancy; accountancy firm,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::outsourced payroll::United Kingdom; pros-kw::payroll bureau::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
chavereys,https://www.linkedin.com/company/chavereys,Chavereys,chavereys.co.uk,https://chavereys.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,38,Accounting,Private,-,Faversham,England,GB,chartered accountants; accountants,-,pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom
harrisaccounts,https://www.linkedin.com/company/harrisaccounts,Harris+Co Chartered Accountants + Chartered Tax Advisers,harrisaccounts.co.uk,http://www.harrisaccounts.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,38,Accounting,PARTNERSHIP,1910,Barnsley,South Yorkshire,GB,chartered accountants; accountants; chartered certified; tax advisers,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom
hicks-and-company-chartered-accountants,https://www.linkedin.com/company/hicks-and-company-chartered-accountants,"Hicks and Company, Chartered Accountants",hicks.co.uk,https://www.hicks.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,38,Accounting,Partnership,-,Harpenden,Hertfordshire,GB,chartered accountants; accountants,-,aiark-lookalike; ind::Accounting::GB; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll::United Kingdom
loftyinsight-itp-limited,https://www.linkedin.com/company/loftyinsight-itp-limited,Loftyinsight It Professionals,loftyitp.com,https://loftyitp.com,accountancy-practice-payroll,high,boutique-mid-11-200,11-50,38,IT Services and IT Consulting,Private,-,-,-,GB,payroll processing,-,pros-kw::bookkeeping::United Kingdom
servicemaster-limited,https://www.linkedin.com/company/servicemaster-limited,ServiceMaster (UK) Limited,servicemaster.co.uk,https://servicemaster.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,38,Consumer Services,Public,-,Leicester,England,GB,bookkeeping,-,pros-kw::bookkeeping::United Kingdom
sowerbyllp,https://www.linkedin.com/company/sowerbyllp,Sowerby Chartered Accountants,sowerby-llp.co.uk,https://sowerby-llp.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,38,Accounting,PARTNERSHIP,1922,Beverley,East Yorkshire,GB,chartered accountants; accountants,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll bureau::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
spurling-cannon,https://www.linkedin.com/company/spurling-cannon,Spurling Cannon,spurlingcannon.co.uk,http://www.spurlingcannon.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,38,Accounting,PRIVATELY_HELD,2003,Ramsgate,Kent,GB,accountants; accountancy; chartered certified; accountancy services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll::United Kingdom
bnw-accountants-ltd,https://www.linkedin.com/company/bnw-accountants-ltd,BNW - Chartered Accountants,bnwaccountants.co.uk,http://www.bnwaccountants.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,PRIVATELY_HELD,2012,Mitcham,-,GB,chartered accountants; accountants; accountancy; bookkeeping,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
cbhc-llp-chartered-accountants,https://www.linkedin.com/company/cbhc-llp-chartered-accountants,CBHC Limited,cbhc.uk.com,https://cbhc.uk.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,Public,-,-,-,GB,accountants,-,pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
churchgate-accountants-limited,https://www.linkedin.com/company/churchgate-accountants-limited,Churchgates,churchgates.co.uk,https://churchgates.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Financial Services,Private,-,Bury St Edmunds,England,GB,accountants; tax advisers,-,pros-ind::Financial Services::United Kingdom
george-hay-chartered-accountants,https://www.linkedin.com/company/george-hay-chartered-accountants,George Hay Chartered Accountants,georgehay.co.uk,https://www.georgehay.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,PARTNERSHIP,1939,Biggleswade,Bedfordshire,GB,chartered accountants; accountants; accountancy; bookkeeping; accountancy firm,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::outsourced payroll::United Kingdom; pros-kw::payroll bureau::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
greenandpeter,https://www.linkedin.com/company/greenandpeter,Green & Peter,greenandpeter.co.uk,https://www.greenandpeter.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,SELF_OWNED,1994,London,-,GB,chartered accountants; accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
greenfield-recovery-ltd,https://www.linkedin.com/company/greenfield-recovery-ltd,Greenfield Recovery Limited,greenfieldrecovery.co.uk,https://greenfieldrecovery.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Financial Services,Private,-,Birmingham,England,GB,accountancy,-,pros-ind::Financial Services::United Kingdom
hf-global-services-pvt-limited,https://www.linkedin.com/company/hf-global-services-pvt-limited,HF Global Services (Pvt) Limited,hfglobals.com,https://hfglobals.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Business Consulting and Services,Private,-,London,England,GB,accountants; accountancy,-,pros-ind::Business Consulting and Services::United Kingdom
hm-chartered-accountants-belfast,https://www.linkedin.com/company/hm-chartered-accountants-belfast,HM Chartered Accountants,harbinson-mulholland.com,https://hm-accountants.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,Private,-,-,-,GB,chartered accountants; accountants,-,pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom
helpboxuk,https://www.linkedin.com/company/helpboxuk,Helpbox UK,helpboxuk.com,http://www.helpboxuk.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,PRIVATELY_HELD,2008,Fareham,England,GB,accounting services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll::United Kingdom
langdowns-dfk-ltd.,https://www.linkedin.com/company/langdowns-dfk-ltd.,Langdowns DFK Ltd.,langdownsdfk.com,https://www.langdownsdfk.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,Privately Held,-,Southampton,Hampshire,GB,accountants; accountancy; accountancy services,-,ind::Accounting::GB; pros-ind::Accounting::United Kingdom
loucas-chartered-certified-accountants,https://www.linkedin.com/company/loucas-chartered-certified-accountants,Loucas Accountants,loucas.org.uk,https://loucas.org.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,Private,-,Maidstone,England,GB,accountants; chartered certified; accounting services,-,pros-ind::Accounting::United Kingdom
mpa-financial-management,https://www.linkedin.com/company/mpa-financial-management,MPA Financial Management,mpafm.co.uk,https://mpafm.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Financial Services,Private,-,Henley-In-Arden,England,GB,accountancy,-,pros-ind::Financial Services::United Kingdom; pros-kw::auto enrolment::United Kingdom
get-mayday,https://www.linkedin.com/company/get-mayday,Mayday,getmayday.com,https://getmayday.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Software Development,Private,-,London,England,GB,bookkeeping,-,pros-kw::bookkeeping::United Kingdom
page-kirk-llp,https://www.linkedin.com/company/page-kirk-llp,Page Kirk LLP,pagekirk.co.uk,http://www.pagekirk.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,PARTNERSHIP,1997,Nottingham,-,GB,chartered accountants; accountants; accountancy; bookkeeping; tax advisers,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
williamsoncroft,https://www.linkedin.com/company/williamsoncroft,UHY Williamson Croft,williamsoncroft.co.uk,https://www.williamsoncroft.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,PRIVATELY_HELD,2015,Manchester,England,GB,accountants; accountancy; accountancy services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll services::United Kingdom
ward-goodman-ltd,https://www.linkedin.com/company/ward-goodman-ltd,Ward Goodman Ltd,wardgoodman.co.uk,http://www.wardgoodman.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,37,Accounting,PRIVATELY_HELD,1968,Ferndown Industrial Estate,Wimborne,GB,chartered accountants; accountants; accountancy; tax advisers,-,aiark-lookalike; pros-ind::Accounting::United Kingdom
bromhead-chartered-accountants,https://www.linkedin.com/company/bromhead-chartered-accountants,Bromhead Chartered Accountants,bromheadco.co.uk,https://www.bromheadco.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,Privately Held,1900,Plymouth,England,GB,chartered accountants; accountants; accountancy; bookkeeping; accountancy firm,-,kw::payroll outsourcing::GB
ck-chartered-accountants,https://www.linkedin.com/company/ck-chartered-accountants,CKCA Limited,ckca.co.uk,https://ckca.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,Private,-,Dudley,England,GB,accountancy practice; accountancy,-,pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::outsourced payroll::United Kingdom; pros-kw::payroll outsourcing::United Kingdom
contabilita,https://www.linkedin.com/company/contabilita,Contabilita,contabilita.co.uk,http://www.contabilita.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,PRIVATELY_HELD,-,Birmingham,West Midlands,GB,chartered accountants; accountants; tax advisers,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom
dales-evans-&-co-ltd,https://www.linkedin.com/company/dales-evans-&-co-ltd,Dales Evans & Co,dalesevans.co.uk,https://dalesevans.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,Private,-,-,-,GB,accounting firm,-,pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom
fts-recovery,https://www.linkedin.com/company/fts-recovery,FTS Recovery,ftsrecovery.co.uk,https://ftsrecovery.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Financial Services,Private,-,Milton Keynes,England,GB,chartered accountants; accountants,-,pros-ind::Financial Services::United Kingdom; pros-kw::chartered accountants::United Kingdom
golf-accountancy-matters,https://www.linkedin.com/company/golf-accountancy-matters,Golf Accountancy Matters,amglltd.com,https://amglltd.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,Private,-,Hook,England,GB,accountants; accountancy; bookkeeping,-,pros-ind::Accounting::United Kingdom
hds-partnership,https://www.linkedin.com/company/hds-partnership,HDS,hds.ie,http://www.hds.ie,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,PARTNERSHIP,2004,Limerick,-,IE,accountants,-,aiark-lookalike; pros-ind::Accounting::Ireland; pros-kw::accountancy practice::Ireland; pros-kw::auto enrolment::Ireland; pros-kw::chartered accountants::Ireland
haggards-crowther,https://www.linkedin.com/company/haggards-crowther,Haggards Crowther Chartered Accountants,haggards.co.uk,http://www.haggards.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,PARTNERSHIP,2004,London,-,GB,chartered accountants; accountants; accountancy; bookkeeping; tax advisers; accountancy services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll::United Kingdom
hendersons-chartered-accountants,https://www.linkedin.com/company/hendersons-chartered-accountants,Hendersons Chartered Accountants,hendersonsca.co.uk,https://www.hendersonsca.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,Privately Held,1996,Brunswick Industrial Estate,Newcastle upon Tyne,GB,chartered accountants; accountants; accountancy,-,ind::Accounting::GB; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
honey-barrett-limited,https://www.linkedin.com/company/honey-barrett-limited,Honey Barrett Chartered Accountants,honeybarrett.co.uk,http://www.honeybarrett.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,PRIVATELY_HELD,-,Eastbourne,East Sussex,GB,chartered accountants; accountants; accountancy; bookkeeping; accounting services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
lugo,https://www.linkedin.com/company/lugo,Lugo,lugoit.co.uk,https://lugoit.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,IT Services and IT Consulting,Private,-,Glasgow,Scotland,GB,accountants; accountancy,-,pros-kw::accountancy practice::United Kingdom; pros-kw::payroll services::United Kingdom
mah-chartered-accountants,https://www.linkedin.com/company/mah-chartered-accountants,"MAH, Chartered Accountants",mah.uk.com,https://www.mah.uk.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,Privately Held,2013,London,England,GB,chartered accountants; accountants,-,ind::Accounting::GB; pros-ind::Accounting::United Kingdom
muras-baker-jones-llp,https://www.linkedin.com/company/muras-baker-jones-llp,Muras Baker Jones Limited,muras.co.uk,http://www.muras.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,PRIVATELY_HELD,1880,Wolverhampton,England,GB,chartered accountants; accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom
nigel-sloam-&-co,https://www.linkedin.com/company/nigel-sloam-&-co,Nigel Sloam & Co,nigelsloam.co.uk,https://www.nigelsloam.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Financial Services,Privately Held,1979,London,-,GB,accountants,payroll administrator,jobs::payroll administrator; pros-ind::Financial Services::United Kingdom
ritsons-chartered-accountants-limited,https://www.linkedin.com/company/ritsons-chartered-accountants-limited,Ritsons Chartered Accountants,ritsonsca.com,http://www.ritsonsca.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,PARTNERSHIP,1909,Elgin,-,GB,chartered accountants; accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom
sandison-easson,https://www.linkedin.com/company/sandison-easson,Sandison Easson,sandisoneasson.co.uk,http://www.sandisoneasson.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,PUBLIC_COMPANY,-,Cheshire,-,GB,chartered accountants; accountants; accounting services,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll bureau::United Kingdom
telleroo,https://www.linkedin.com/company/telleroo,Telleroo,telleroo.com,https://telleroo.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Financial Services,Private,-,Amersham,England,GB,accountants,-,pros-ind::Financial Services::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll::United Kingdom
darbys-limited,https://www.linkedin.com/company/darbys-limited,darbys Limited,darbys.com,https://www.darbys.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,36,Accounting,PRIVATELY_HELD,1982,Retford,England,GB,accountants; accountancy; chartered certified,-,aiark-lookalike; pros-ind::Accounting::United Kingdom
accountants-plus-hamilton,https://www.linkedin.com/company/accountants-plus-hamilton,Accountants Plus,accountantsplus.net,https://www.accountantsplus.net,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,35,Accounting,PRIVATELY_HELD,2001,Hamilton,Lanarkshire,GB,accountants; accountancy,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll::United Kingdom
acenteus,https://www.linkedin.com/company/acenteus,Acenteus CCA,acenteus-cca.com,https://acenteus-cca.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,35,Accounting,Privately Held,2022,Brighton,England,GB,accountants; bookkeeping; accounting services,-,aiark-lookalike; kw::payroll services::GB; pros-ind::Accounting::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll solutions::United Kingdom; pros-kw::payroll::United Kingdom
amber-business-solutions-london-ltd,https://www.linkedin.com/company/amber-business-solutions-london-ltd,Amber Business Solutions (London) Ltd,amberbusinesssolutions.net,https://www.amberbusinesssolutions.net,accountancy-practice-payroll,high,boutique-mid-11-200,11-50,35,Accounting,PRIVATELY_HELD,-,"Ruislip, Middx",-,GB,payroll processing,-,aiark-lookalike; pros-ind::Accounting::United Kingdom
barringtons-limited,https://www.linkedin.com/company/barringtons-limited,Barringtons Limited,barringtons.co.uk,http://www.barringtons.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,35,Accounting,PRIVATELY_HELD,1980,Newcastle Under Lyme,Staffordshire,GB,chartered accountants; accountants,-,aiark-lookalike; pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll::United Kingdom
bryden-johnson,https://www.linkedin.com/company/bryden-johnson,Bryden Johnson,bryden-johnson.co.uk,https://bryden-johnson.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,35,Accounting,Private,-,Croydon,England,GB,accountants; accountancy,-,pros-ind::Accounting::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::outsourced payroll::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
capital-and-trust,https://www.linkedin.com/company/capital-and-trust,Capital and Trust,capitalandtrust.com,https://capitalandtrust.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,35,Financial Services,Private,-,London,England,GB,accountancy,-,pros-ind::Financial Services::United Kingdom; pros-kw::chartered accountants::United Kingdom
fts-ltd.,https://www.linkedin.com/company/fts-ltd.,FTS,-,https://fitts.co.uk,accountancy-practice-payroll,high,boutique-mid-11-200,11-50,35,Accounting,Private,-,-,-,GB,payroll services,-,pros-ind::Accounting::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
gf-&-co,https://www.linkedin.com/company/gf-&-co,GF & Co,-,https://gfandco.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,35,Accounting,Private,-,Herne Bay,England,GB,accountancy practice; accountants; accountancy; chartered certified,-,pros-ind::Accounting::United Kingdom; pros-kw::accountancy practice::United Kingdom; pros-kw::auto enrolment::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
havard-and-associates,https://www.linkedin.com/company/havard-and-associates,Havard & Associates,havardassoc.co.uk,https://havardassoc.co.uk,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,35,Accounting,Private,-,Hornchurch,England,GB,accountancy,-,pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
howlader-&-co,https://www.linkedin.com/company/howlader-&-co,Howlader & Co,howladerandco.com,http://howladerandco.com,accountancy-practice-payroll,medium,boutique-mid-11-200,11-50,35,Accounting,PRIVATELY_HELD,1972,London,-,GB,chartered accountants; accountants; accounting services,-,aiark-lookalike; ind::Accounting::GB; pros-ind::Accounting::United Kingdom; pros-kw::bookkeeping::United Kingdom; pros-kw::chartered accountants::United Kingdom; pros-kw::payroll outsourcing::United Kingdom; pros-kw::payroll services::United Kingdom; pros-kw::payroll::United Kingdom
